plane_id,Aircraft_ID,Registration,Type,Operator,Date,Start_Time,End_Time,Duration_Min,Start_Lat,Start_Lon,End_Lat,End_Lon,Status,HEX kód,Lajstromjel,Típus,Kategória,Gyártási év,Kötődés,Magyar kötődés kezdete,Magyar kötődés vége,Újonnani érték,Üzemeltetési költség/óra,Cikk(ek),Cikkek,price_of_flight
440214,440214,,,,2024-08-10,17:44:50,19:13:30,88.7,43.541984,6.952057,47.43639,19.2407,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,10303.983333333334
440214,440214,,,,2024-08-21,06:58:38,08:39:39,101.0,47.433472,19.245441,43.547721,6.950912,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,11732.833333333334
440214,440214,,,,2024-08-21,09:40:49,11:04:48,84.0,43.54985,6.950513,47.428276,19.28528,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,9758.0
440214,440214,,,,2024-08-21,12:49:09,14:28:27,99.3,47.432877,19.246399,43.658993,7.21393,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,11535.35
440214,440214,,,,2024-08-22,13:34:35,22:20:30,525.9,43.653671,7.212013,44.536037,11.277231,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,61092.04999999999
440214,440214,,,,2024-08-22,22:32:56,23:17:00,44.1,44.535233,11.289171,43.656097,7.209969,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,5122.95
440214,440214,,,,2024-08-25,09:51:33,11:12:33,81.0,43.656097,7.215335,47.442055,19.23155,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,9409.5
440214,440214,,,,2024-08-25,13:18:25,14:02:15,43.8,47.43425,19.244202,47.429775,19.282843,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,5088.099999999999
440214,440214,,,,2024-08-25,14:39:08,15:25:08,46.0,47.433518,19.245371,47.428491,19.28502,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,5343.666666666667
440214,440214,,,,2024-08-30,05:49:38,14:23:42,514.1,47.433239,19.245793,47.442467,19.230864,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,59721.28333333333
440214,440214,,,,2024-09-11,12:20:47,14:11:00,110.2,47.432913,19.246286,43.546143,6.951184,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,12801.566666666668
440214,440214,,,,2024-09-13,09:10:55,10:37:08,86.2,43.5504,6.950449,47.442538,19.230757,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,10013.566666666668
440214,440214,,,,2024-09-24,07:23:30,09:26:27,122.9,47.442596,19.230652,51.3311,0.032532,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,14276.883333333333
440214,440214,,,,2024-09-24,18:22:22,20:09:28,107.1,51.327484,0.029767,47.443485,19.229267,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,12441.449999999999
440214,440214,,,,2024-09-30,16:12:02,16:57:19,45.3,47.433798,19.244878,47.434798,19.24324,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,5262.35
440214,440214,,,,2024-10-03,08:27:07,13:35:47,4628.7,47.432029,19.279175,47.4363,19.240846,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,537700.65
440214,440214,,,,2024-10-14,07:51:39,10:06:54,135.3,47.433517,19.245369,51.331558,0.032921,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,15717.350000000002
440214,440214,,,,2024-10-14,15:11:04,17:01:17,110.2,51.327706,0.029984,47.437638,19.238628,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,12801.566666666668
440214,440214,,,,2024-10-16,12:03:59,13:26:34,82.6,47.442123,19.23143,40.962616,28.803345,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,9595.366666666665
440214,440214,,,,2024-10-18,05:40:31,07:27:40,107.1,40.974289,28.828796,47.443428,19.229301,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,12441.449999999999
440214,440214,,,,2024-10-21,05:46:38,07:39:21,112.7,47.437271,19.239395,48.965561,2.454177,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,13091.983333333334
440214,440214,,,,2024-10-21,16:03:43,17:43:08,99.4,48.964854,2.440989,47.447903,19.22213,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,11546.966666666667
440214,440214,,,,2024-10-23,15:32:39,08:04:26,991.8,47.431563,19.279949,47.471661,8.55035,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,115214.09999999998
440214,440214,,,,2024-10-24,13:13:21,14:31:44,78.4,47.457687,8.554642,47.443405,19.260818,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,9107.466666666667
440214,440214,,,,2024-10-24,15:24:32,15:55:04,30.5,47.437894,19.269808,48.112782,16.581184,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,3543.083333333333
440214,440214,,,,2024-10-26,09:54:42,14:56:01,301.3,48.112198,16.565941,47.443211,19.229679,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,35001.01666666666
440214,440214,,,,2024-10-28,09:30:40,10:52:21,81.7,47.445761,19.225511,47.474579,8.54635,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,9490.816666666668
440214,440214,,,,2024-10-28,15:05:16,16:19:35,74.3,47.457275,8.560753,47.436848,19.239927,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,8631.183333333332
440214,440214,,,,2024-10-29,14:18:54,15:12:08,53.2,47.43338,19.245575,45.709843,25.527303,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,6180.066666666667
440214,440214,,,,2024-10-31,10:05:56,11:02:02,56.1,45.699354,25.516296,47.428974,19.284147,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,6516.950000000001
440214,440214,,,,2024-11-20,09:17:29,11:30:38,133.1,47.432739,19.246605,51.333188,0.03418,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,15461.783333333333
440214,440214,,,,2024-11-23,10:43:35,12:33:34,110.0,51.335312,0.03578,47.434605,19.243584,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,12778.333333333332
440214,440214,,,,2024-11-26,15:48:47,17:00:09,71.4,47.433105,19.245987,50.979366,10.963576,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,8294.300000000001
440214,440214,,,,2024-11-26,17:33:56,18:40:38,66.7,50.978897,10.969552,47.436481,19.240528,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,7748.3166666666675
440214,440214,,,,2024-11-27,09:14:20,09:43:49,29.5,47.433426,19.245438,48.111855,16.581528,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,3426.9166666666665
440214,440214,,,,2024-11-27,11:22:13,12:12:35,50.4,48.111086,16.569355,50.979858,10.9576,Landed,440214,OE-HOZ,Bombardier BD-100-1A-10 Challenger 3500,felső-középkategóriás business jet,2024,Mészáros Lőrinc,2024. 07. 10.,-,"9,6 milliárd Ft",6970,1,,5854.8
